date,home_team,away_team,side,bet_size,odds,no_vig_prob,result,pnl,closing_no_vig_prob,clv,status,game_pk,decision_id,model_home_prob,edge,decision_timestamp
2026-08-11,SD,MIL,HOME,329.83,112.0,0.4609723829998345,win,369.41,0.4519505233111322,-0.0090218596887022,settled,823264,2026-08-11_823264_HOME,0.5223848632691998,0.0614124802693651,2026-08-11T17:34:07
2026-08-11,TOR,BOS,AWAY,456.1,117.0,0.4435793295775702,loss,-456.1,0.4479937670432411,0.0044144374656709,settled,822778,2026-08-11_822778_AWAY,0.4676356733417702,-0.0887849970806595,2026-08-11T17:34:07
2026-08-11,MIA,PIT,AWAY,783.13,220.0,0.2972471562619609,loss,-783.13,0.5069715560513106,0.2097243997893497,settled,823832,2026-08-11_823832_AWAY,0.5223848632691998,-0.1803679804688392,2026-08-11T18:38:13
2026-08-11,WSH,CHC,AWAY,720.25,110.0,0.4417182700357531,win,792.28,0.6214728148657949,0.1797545448300417,settled,822697,2026-08-11_822697_AWAY,0.4081081081081081,-0.1501736218561387,2026-08-11T18:38:13
2026-08-11,ATL,NYM,AWAY,318.54,145.0,0.3933883420707045,loss,-318.54,0.4559761116939714,0.0625877696232669,settled,824886,2026-08-11_824886_AWAY,0.5340200658922436,-0.0725915920370519,2026-08-11T18:40:13
2026-08-11,DET,CLE,HOME,598.33,-115.0,0.5366584503811238,win,520.29,0.5660893345487694,0.0294308841676456,settled,824240,2026-08-11_824240_HOME,0.6202294313556187,0.0835709809744948,2026-08-11T18:40:13
2026-08-11,MIN,BAL,HOME,755.86,170.0,0.3485254691689007,loss,-755.86,0.5121724504249292,0.1636469812560285,settled,823673,2026-08-11_823673_HOME,0.5163224526457012,0.1677969834768004,2026-08-11T18:45:14
2026-08-11,OAK,TB,HOME,264.15,166.0,0.3645964294694493,loss,-264.15,0.369845766446333,0.0052493369768836,settled,824970,2026-08-11_824970_HOME,0.4264950872063373,0.0618986577368879,2026-08-11T19:10:14
2026-08-11,STL,PHI,HOME,355.91,180.0,0.3276506796075712,win,640.64,0.4072016974538192,0.0795510178462479,settled,823019,2026-08-11_823019_HOME,0.427309978268269,0.0996592986606977,2026-08-11T19:10:14
2026-08-12,ATL,NYM,AWAY,403.61,158.0,0.3800156477031408,loss,-403.61,0.3744351194318915,-0.0055805282712492,settled,824883,2026-08-12_824883_AWAY,0.5366016282987086,-0.0833827239981506,2026-08-12T16:07:21
2026-08-12,DET,CLE,HOME,536.49,-130.0,0.5427435387673957,loss,-536.49,0.5445673389720234,0.0018238002046276,settled,824241,2026-08-12_824241_HOME,0.636751363071806,0.0940078243044103,2026-08-12T16:07:21
2026-08-12,NYY,SEA,HOME,607.55,-124.0,0.5445673389720234,win,489.96,0.5525902668759811,0.0080229279039577,settled,823511,2026-08-12_823511_HOME,0.636751363071806,0.0921840240997826,2026-08-12T16:07:21
2026-08-12,SF,HOU,AWAY,903.12,155.0,0.3680904552681006,win,1399.84,,,settled,823187,2026-08-12_823187_AWAY,0.4394910828379355,-0.1924184618939639,2026-08-12T16:07:21
2026-08-12,SD,MIL,HOME,693.41,145.0,0.3971411383714482,win,1005.44,,,settled,823263,2026-08-12_823263_HOME,0.5340200658922436,0.1368789275207954,2026-08-12T16:15:13
2026-08-12,TOR,BOS,AWAY,587.32,145.0,0.3856338038157509,loss,-587.32,0.5525902668759812,0.1669564630602303,settled,822779,2026-08-12_822779_AWAY,0.4845285166546849,-0.1298376795295641,2026-08-12T19:10:12
2026-08-18,BOS,ARI,AWAY,413.31,145.0,0.389784000562865,loss,-413.31,0.389784000562865,0.0,settled,824723,2026-08-18_824723_AWAY,0.5163224526457012,-0.0938935467914338,2026-08-18T17:10:20
2026-08-18,CLE,SF,AWAY,588.68,171.0,0.3602932041247361,loss,-588.68,0.35652575989876123,-0.0037674442259748586,settled,824398,2026-08-18_824398_AWAY,0.5163224526457012,-0.1233843432295627,2026-08-18T17:10:20
2026-08-18,KC,OAK,AWAY,308.16,144.0,0.4021110831867304,loss,-308.16,0.4021110831867304,0.0,settled,824075,2026-08-18_824075_AWAY,0.5340200658922436,-0.063868850921026,2026-08-18T17:10:20
2026-08-18,PHI,MIA,AWAY,380.84,189.0,0.3377534508411256,loss,-380.84,0.3377534508411256,0.0,settled,823423,2026-08-18_823423_AWAY,0.5770910377206806,-0.0851555114381937,2026-08-18T17:10:20
2026-08-18,PIT,DET,AWAY,515.69,136.0,0.4126277181032224,loss,-515.69,0.4126277181032224,0.0,settled,823341,2026-08-18_823341_AWAY,0.4845285166546849,-0.1028437652420927,2026-08-18T17:10:20
2026-08-19,BOS,ARI,AWAY,509.72,165.0,0.3566822780906142,,,,,pending,824722,2026-08-19_824722_AWAY,0.5340200658922436,-0.1092976560171421,2026-08-19T18:06:44
2026-08-19,CIN,STL,AWAY,897.66,135.0,0.4141712180437544,,,,,pending,824476,2026-08-19_824476_AWAY,0.4304732399425287,-0.1553555420137168,2026-08-19T18:06:44
2026-08-19,COL,LAD,HOME,337.34,174.0,0.3565257598987613,,,,,pending,824318,2026-08-19_824318_HOME,0.4247825620100934,0.0682568021113321,2026-08-19T18:06:44
2026-08-19,HOU,LAA,AWAY,314.34,134.0,0.417283618252793,,,,,pending,824155,2026-08-19_824155_AWAY,0.5223848632691998,-0.0603315184780072,2026-08-19T18:06:44
